Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
12925.0,2088.0,914.0,1174.0,1543.0,11.0,0.0,11.0,0.0,67.0,2047.0,367.0,53.0,151.0,6071.0,4047.0,5487.0,584.0,90040,16.154738878143135,40,Los Angeles,Los Angeles,Standard
28651.0,2902.0,1436.0,1466.0,1790.0,31.0,22.0,552.0,0.0,66.0,1228.0,438.0,73.0,137.0,15399.0,8546.0,14361.0,1022.0,90041,10.128791316184426,41,Los Angeles,Los Angeles,Standard
63788.0,12358.0,5906.0,6452.0,5384.0,348.0,436.0,896.0,5.0,283.0,9788.0,2126.0,242.0,887.0,35403.0,16186.0,32503.0,2874.0,90042,19.37354988399072,42,Los Angeles,Los Angeles,Standard
44571.0,9400.0,4004.0,5396.0,1702.0,5759.0,0.0,32.0,0.0,64.0,3451.0,1820.0,68.0,1190.0,22373.0,14050.0,19450.0,2911.0,90043,21.08994637768953,43,Los Angeles,Los Angeles,Standard
94680.0,32596.0,14401.0,18195.0,8363.0,9512.0,62.0,101.0,8.0,303.0,22185.0,5938.0,807.0,3106.0,40806.0,28996.0,36799.0,4007.0,90044,34.42754541613857,44,Los Angeles,Los Angeles,Standard
41420.0,3938.0,1661.0,2277.0,2139.0,684.0,0.0,416.0,20.0,255.0,820.0,450.0,135.0,191.0,23814.0,12007.0,22235.0,1579.0,90045,9.50748430709802,45,Los Angeles,Los Angeles,Standard
51615.0,6847.0,3581.0,3266.0,5415.0,415.0,50.0,330.0,0.0,309.0,792.0,342.0,49.0,73.0,37028.0,11290.0,34376.0,2569.0,90046,13.265523588104234,46,Los Angeles,Los Angeles,Standard
48491.0,9660.0,3833.0,5827.0,1683.0,6486.0,0.0,24.0,0.0,113.0,2919.0,1804.0,288.0,1144.0,23048.0,16204.0,20118.0,2930.0,90047,19.92122249489596,47,Los Angeles,Los Angeles,Standard
22860.0,1942.0,709.0,1233.0,1374.0,81.0,25.0,320.0,0.0,71.0,163.0,210.0,45.0,105.0,15622.0,4837.0,14657.0,965.0,90048,8.495188101487313,48,Los Angeles,Los Angeles,Standard
36362.0,2659.0,1065.0,1594.0,2046.0,55.0,45.0,275.0,0.0,206.0,239.0,354.0,22.0,174.0,20784.0,10166.0,19646.0,1089.0,90049,7.312579066057973,49,Los Angeles,Los Angeles,Standard
8014.0,558.0,229.0,329.0,137.0,391.0,0.0,30.0,0.0,0.0,16.0,59.0,16.0,16.0,4125.0,2515.0,3657.0,468.0,90056,6.962815073621163,56,Los Angeles,Los Angeles,Standard
49389.0,16961.0,8269.0,8692.0,5836.0,840.0,207.0,2165.0,14.0,273.0,13008.0,3099.0,497.0,1465.0,27960.0,11565.0,25517.0,2443.0,90057,34.34165502439814,57,Los Angeles,Los Angeles,Standard
3189.0,1774.0,795.0,979.0,729.0,116.0,0.0,0.0,11.0,17.0,1656.0,322.0,20.0,245.0,1138.0,875.0,1007.0,131.0,90058,55.62872373784886,58,Los Angeles,Los Angeles,Standard
47351.0,16204.0,7512.0,8692.0,5484.0,5363.0,10.0,115.0,0.0,330.0,10579.0,2762.0,174.0,1776.0,19658.0,12756.0,17127.0,2525.0,90059,34.2210301788769,59,Los Angeles,Los Angeles,Standard
28003.0,8634.0,3547.0,5087.0,3054.0,2743.0,72.0,31.0,0.0,199.0,5753.0,1620.0,147.0,849.0,12177.0,8832.0,11181.0,996.0,90061,30.832410813127165,61,Los Angeles,Los Angeles,Standard
33627.0,7776.0,3476.0,4300.0,1513.0,3077.0,44.0,57.0,27.0,101.0,4398.0,1478.0,154.0,908.0,16152.0,10161.0,14763.0,1389.0,90062,23.124275136051388,62,Los Angeles,Los Angeles,Standard
53556.0,11991.0,5586.0,6405.0,5976.0,52.0,91.0,140.0,28.0,177.0,11617.0,2169.0,317.0,845.0,26064.0,14952.0,23210.0,2854.0,90063,22.389648218686983,63,Los Angeles,Los Angeles,Standard
26007.0,2354.0,1008.0,1346.0,1547.0,41.0,0.0,659.0,0.0,19.0,472.0,288.0,6.0,115.0,14278.0,6681.0,13757.0,521.0,90064,9.05140923597493,64,Los Angeles,Los Angeles,Standard
48420.0,8524.0,4243.0,4281.0,4495.0,227.0,178.0,929.0,16.0,217.0,6370.0,1496.0,348.0,540.0,26629.0,12589.0,24287.0,2333.0,90065,17.604295745559686,65,Los Angeles,Los Angeles,Standard
59747.0,6335.0,3055.0,3280.0,3499.0,210.0,225.0,1305.0,0.0,346.0,2637.0,898.0,124.0,373.0,36405.0,14253.0,33941.0,2464.0,90066,10.603042830602373,66,Los Angeles,Los Angeles,Standard
2235.0,108.0,53.0,55.0,88.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,843.0,1261.0,813.0,30.0,90067,4.832214765100671,67,Los Angeles,Los Angeles,Standard
21726.0,2238.0,1274.0,964.0,1658.0,83.0,15.0,198.0,0.0,110.0,332.0,126.0,9.0,42.0,15530.0,3816.0,14105.0,1425.0,90068,10.301021817177576,68,Los Angeles,Los Angeles,Standard
20401.0,1986.0,1384.0,602.0,1617.0,118.0,9.0,149.0,0.0,62.0,218.0,33.0,0.0,33.0,15785.0,3819.0,14842.0,943.0,90069,9.73481692073918,69,West Hollywood,Los Angeles,Standard
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90071,,71,Los Angeles,Los Angeles,Standard
8936.0,372.0,139.0,233.0,307.0,0.0,0.0,18.0,0.0,10.0,65.0,46.0,0.0,15.0,4271.0,2995.0,4072.0,186.0,90077,4.162936436884512,77,Los Angeles,Los Angeles,Standard
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90079,,79,Los Angeles,Los Angeles,Standard
8568.0,897.0,383.0,514.0,362.0,310.0,0.0,63.0,0.0,18.0,239.0,79.0,42.0,37.0,5166.0,1725.0,4988.0,178.0,90094,10.469187675070028,92,Playa Vista,Los Angeles,Standard
