Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
45392.0,16580.0,8108.0,8472.0,4384.0,1026.0,111.0,1954.0,0.0,113.0,13039.0,3167.0,626.0,1375.0,25330.0,10745.0,22087.0,3243.0,90057,36.526260133944305,57,Los Angeles,Los Angeles,Standard
2980.0,1716.0,882.0,834.0,617.0,107.0,0.0,45.0,0.0,23.0,1630.0,340.0,9.0,182.0,1176.0,913.0,947.0,229.0,90058,57.58389261744966,58,Los Angeles,Los Angeles,Standard
41831.0,14988.0,6663.0,8325.0,6134.0,4906.0,40.0,84.0,0.0,316.0,9801.0,2789.0,265.0,1747.0,16601.0,12041.0,13655.0,2946.0,90059,35.829886925964,59,Los Angeles,Los Angeles,Standard
27457.0,9115.0,3959.0,5156.0,3376.0,2999.0,36.0,0.0,0.0,122.0,6062.0,1691.0,135.0,1003.0,11284.0,8105.0,9236.0,2035.0,90061,33.19736314965218,61,Los Angeles,Los Angeles,Standard
32450.0,8859.0,3921.0,4938.0,1294.0,3081.0,202.0,60.0,30.0,145.0,5519.0,1714.0,288.0,990.0,15204.0,9964.0,12897.0,2307.0,90062,27.300462249614792,62,Los Angeles,Los Angeles,Standard
54160.0,14411.0,6637.0,7774.0,5519.0,73.0,52.0,140.0,15.0,227.0,14022.0,2455.0,292.0,1066.0,24865.0,15574.0,21073.0,3782.0,90063,26.608197932053177,63,Los Angeles,Los Angeles,Standard
26103.0,2539.0,1234.0,1305.0,1612.0,44.0,7.0,790.0,0.0,39.0,670.0,298.0,48.0,153.0,14258.0,6966.0,13311.0,947.0,90064,9.726851319771674,64,Los Angeles,Los Angeles,Standard
45242.0,8970.0,4089.0,4881.0,3668.0,132.0,162.0,716.0,16.0,283.0,7154.0,1742.0,201.0,738.0,23533.0,12945.0,21345.0,2134.0,90065,19.82670969453163,65,Los Angeles,Los Angeles,Standard
59031.0,6494.0,3240.0,3254.0,3171.0,738.0,163.0,581.0,13.0,297.0,2932.0,1030.0,225.0,286.0,34578.0,14334.0,31624.0,2954.0,90066,11.000999474852197,66,Los Angeles,Los Angeles,Standard
2312.0,175.0,47.0,128.0,149.0,0.0,0.0,5.0,0.0,0.0,9.0,38.0,0.0,25.0,1047.0,1076.0,965.0,82.0,90067,7.569204152249135,67,Los Angeles,Los Angeles,Standard
22043.0,2309.0,1390.0,919.0,1658.0,53.0,0.0,244.0,0.0,287.0,317.0,132.0,36.0,62.0,15910.0,4198.0,14225.0,1685.0,90068,10.47498071950279,68,Los Angeles,Los Angeles,Standard
